,startday,收取费用(元)
0,1/5/2018,43
1,1/5/2018,38
2,1/5/2018,37
3,1/5/2018,36
4,1/5/2018,35
5,1/5/2018,32
6,1/5/2018,30
7,1/5/2018,29
8,1/5/2018,29
9,1/5/2018,29
10,1/5/2018,28
11,1/5/2018,28
12,1/5/2018,28
13,1/5/2018,28
14,1/5/2018,28
15,1/5/2018,28
16,1/5/2018,27
17,1/5/2018,27
18,1/5/2018,27
19,1/5/2018,27
20,1/5/2018,27
21,1/5/2018,27
22,1/5/2018,26
23,1/5/2018,26
24,1/5/2018,26
25,1/5/2018,25
26,1/5/2018,25
27,1/5/2018,25
28,1/5/2018,25
29,1/5/2018,25
30,1/5/2018,22
31,1/5/2018,22
32,1/5/2018,16
33,1/5/2018,16
34,1/5/2018,16
35,1/5/2018,16
36,1/5/2018,16
37,1/5/2018,16
38,1/5/2018,16
39,1/5/2018,16
40,1/5/2018,16
41,1/5/2018,16
42,1/5/2018,16
43,1/5/2018,16
44,1/5/2018,16
45,1/5/2018,16
46,1/5/2018,16
47,1/5/2018,16
48,1/5/2018,16
49,1/5/2018,16
50,1/5/2018,16
51,1/5/2018,16
52,1/5/2018,16
53,1/5/2018,16
54,1/5/2018,16
55,1/5/2018,16
56,1/5/2018,16
57,1/5/2018,16
58,1/5/2018,16
59,1/5/2018,16
60,1/5/2018,16
61,1/5/2018,16
62,1/5/2018,16
63,1/5/2018,16
64,1/5/2018,16
65,1/5/2018,16
66,1/5/2018,16
67,1/5/2018,16
68,1/5/2018,16
69,1/5/2018,16
70,1/5/2018,16
71,1/5/2018,16
72,1/5/2018,16
73,1/5/2018,14
74,1/5/2018,14
75,1/5/2018,14
76,1/5/2018,14
77,1/5/2018,14
78,1/5/2018,14
79,1/5/2018,14
80,1/5/2018,14
81,1/5/2018,14
82,1/5/2018,14
83,1/5/2018,14
84,1/5/2018,14
85,1/5/2018,14
86,1/5/2018,14
87,1/5/2018,14
88,1/5/2018,14
89,1/5/2018,14
90,1/5/2018,14
91,1/5/2018,14
92,1/5/2018,14
93,1/5/2018,14
94,1/5/2018,14
95,1/5/2018,14
96,1/5/2018,14
97,1/5/2018,14
98,1/5/2018,14
99,1/5/2018,14
100,1/5/2018,14
101,1/5/2018,14
102,1/5/2018,14
103,1/5/2018,14
104,1/5/2018,14
105,1/5/2018,14
106,1/5/2018,14
107,1/5/2018,14
108,1/5/2018,14
109,1/5/2018,14
110,1/5/2018,14
111,1/5/2018,14
112,1/5/2018,14
113,1/5/2018,14
114,1/5/2018,14
115,1/5/2018,14
116,1/5/2018,14
117,1/5/2018,14
118,1/5/2018,14
119,1/5/2018,14
120,1/5/2018,14
121,1/5/2018,14
122,1/5/2018,14
123,1/5/2018,14
124,1/5/2018,14
125,1/5/2018,14
126,1/5/2018,14
127,1/5/2018,14
128,1/5/2018,14
129,1/5/2018,14
130,1/5/2018,14
131,1/5/2018,14
132,1/5/2018,14
133,1/5/2018,14
134,1/5/2018,14
135,1/5/2018,14
136,1/5/2018,14
137,1/5/2018,14
138,1/5/2018,14
139,1/5/2018,14
140,1/5/2018,14
141,1/5/2018,14
142,1/5/2018,14
143,1/5/2018,14
144,1/5/2018,14
145,1/5/2018,14
146,1/5/2018,14
147,1/5/2018,14
148,1/5/2018,14
149,1/5/2018,14
150,1/5/2018,14
151,1/5/2018,14
152,1/5/2018,14
153,1/5/2018,14
154,1/5/2018,14
155,1/5/2018,14
156,1/5/2018,14
157,1/5/2018,14
158,1/5/2018,14
159,1/5/2018,14
160,1/5/2018,14
161,1/5/2018,14
162,1/5/2018,14
163,1/5/2018,14
164,1/5/2018,14
165,1/5/2018,14
166,1/5/2018,14
167,1/5/2018,14
168,1/5/2018,14
169,1/5/2018,14
170,1/5/2018,14
171,1/5/2018,14
172,1/5/2018,14
173,1/5/2018,14
174,1/5/2018,14
175,1/5/2018,14
176,1/5/2018,14
177,1/5/2018,14
178,1/5/2018,14
179,1/5/2018,14
180,1/5/2018,14
181,1/5/2018,14
182,1/5/2018,14
183,1/5/2018,14
184,1/5/2018,14
185,1/5/2018,14
186,1/5/2018,14
187,1/5/2018,14
188,1/5/2018,14
189,1/5/2018,14
190,1/5/2018,14
191,1/5/2018,14
192,1/5/2018,14
193,1/5/2018,14
194,1/5/2018,14
195,1/5/2018,14
196,1/5/2018,14
197,1/5/2018,14
198,1/5/2018,14
199,1/5/2018,14
200,1/5/2018,14
201,1/5/2018,14
202,1/5/2018,14
203,1/5/2018,14
204,1/5/2018,14
205,1/5/2018,14
206,1/5/2018,14
207,1/5/2018,14
208,1/5/2018,14
